,diesel,petrol
Ghazipur,90.43 ₹/L,97.25 ₹/L
Gir Somnath,93.92 ₹/L,98.15 ₹/L
Giridih,94.93 ₹/L,100.13 ₹/L
Goalpara,89.04 ₹/L,97.52 ₹/L
Godda,95.30 ₹/L,100.53 ₹/L
Golaghat,88.71 ₹/L,97.18 ₹/L
Gomati,88.89 ₹/L,99.98 ₹/L
Gonda,89.96 ₹/L,96.76 ₹/L
Gondia,94.32 ₹/L,107.84 ₹/L
Gopalganj,95.46 ₹/L,108.77 ₹/L
Gorakhpur,89.97 ₹/L,96.79 ₹/L
Greater Mumbai,94.27 ₹/L,106.31 ₹/L
Gulbarga,88.16 ₹/L,102.21 ₹/L
Gumla,95.09 ₹/L,100.28 ₹/L
Guna,94.75 ₹/L,109.59 ₹/L
Guntur,99.62 ₹/L,111.88 ₹/L
Gurdaspur,87.78 ₹/L,97.43 ₹/L
Gurgaon,89.76 ₹/L,96.89 ₹/L
Gwalior,93.84 ₹/L,108.58 ₹/L
Hailakandi,89.19 ₹/L,97.63 ₹/L
Hamirpur,84.90 ₹/L,95.69 ₹/L
Hanumangarh,97.39 ₹/L,112.54 ₹/L
Hapur,89.65 ₹/L,96.48 ₹/L
Harda,94.37 ₹/L,109.15 ₹/L
Hardoi,90.05 ₹/L,96.87 ₹/L
Haridwar,89.54 ₹/L,94.42 ₹/L
Hassan,87.90 ₹/L,102.05 ₹/L
Hathras,89.63 ₹/L,96.48 ₹/L
Haveri,88.77 ₹/L,102.89 ₹/L
Hazaribagh,95.30 ₹/L,100.50 ₹/L
Hingoli,94.41 ₹/L,107.93 ₹/L
Hisar,90.46 ₹/L,97.63 ₹/L
Hojai,89.44 ₹/L,97.90 ₹/L
Hooghly,93.22 ₹/L,106.52 ₹/L
Hoshangabad,94.42 ₹/L,109.20 ₹/L
Hoshiarpur,87.57 ₹/L,97.21 ₹/L
Howrah,92.76 ₹/L,106.03 ₹/L
Hyderabad,97.82 ₹/L,109.66 ₹/L
Idukki,98.03 ₹/L,109.28 ₹/L
Indore,93.86 ₹/L,108.58 ₹/L
